target_draw_no,target_date,combo_index,numbers,actual_main,actual_bonus,main_match,bonus_match,prize_rank
103,2015-04-03,5,01 04 13 14 23 28 35,02 03 11 12 22 35 36,30 34,1,0,外れ
104,2015-04-10,1,01 04 11 23 28 35 36,07 09 11 15 16 22 37,12 13,1,0,外れ
104,2015-04-10,2,01 04 11 24 28 29 35,07 09 11 15 16 22 37,12 13,1,0,外れ
104,2015-04-10,3,04 11 13 23 24 28 35,07 09 11 15 16 22 37,12 13,1,1,外れ
104,2015-04-10,4,01 04 08 11 13 28 35,07 09 11 15 16 22 37,12 13,1,1,外れ
104,2015-04-10,5,01 11 13 24 28 35 36,07 09 11 15 16 22 37,12 13,1,1,外れ
105,2015-04-17,1,01 04 11 23 28 35 36,03 15 19 20 26 28 33,17 21,1,0,外れ
105,2015-04-17,2,01 04 11 24 28 29 35,03 15 19 20 26 28 33,17 21,1,0,外れ
105,2015-04-17,3,04 11 13 23 24 28 35,03 15 19 20 26 28 33,17 21,1,0,外れ
105,2015-04-17,4,01 04 08 11 13 28 35,03 15 19 20 26 28 33,17 21,1,0,外れ
105,2015-04-17,5,01 11 13 24 28 35 36,03 15 19 20 26 28 33,17 21,1,0,外れ
106,2015-04-24,1,01 04 11 23 28 35 36,06 10 12 19 21 22 30,01 11,0,2,外れ
106,2015-04-24,2,01 03 04 11 24 28 35,06 10 12 19 21 22 30,01 11,0,2,外れ
106,2015-04-24,3,01 04 11 15 28 29 35,06 10 12 19 21 22 30,01 11,0,2,外れ
106,2015-04-24,4,01 03 11 15 23 28 35,06 10 12 19 21 22 30,01 11,0,2,外れ
106,2015-04-24,5,04 11 15 23 24 28 35,06 10 12 19 21 22 30,01 11,0,1,外れ
107,2015-05-01,1,01 04 11 23 28 35 36,03 08 09 13 17 27 33,29 31,0,0,外れ
107,2015-05-01,2,01 03 04 11 24 28 35,03 08 09 13 17 27 33,29 31,1,0,外れ
107,2015-05-01,3,01 04 11 13 28 30 35,03 08 09 13 17 27 33,29 31,1,0,外れ
