generation,genome_id,score,targets,tickets,max_main_match,rank_1等,rank_2等,rank_3等,rank_4等,rank_5等,rank_6等,rank_外れ,full_weight,recent240_weight,recent120_weight,recent60_weight,pair_weight,pair_recency_weight,pair_stability_weight,triple_weight,dormancy_weight,odd_bonus,sum_bonus,low_high_bonus,consecutive_penalty,overlap_limit,pool_size,target_sum_min,target_sum_max,max_consecutive_pairs,shard_id,num_shards,completed_at
6,g006_elite_0004,10857.373677,240,1200,5,0,0,0,6,32,37,1125,0.4330027509771078,0.13470893798150482,0.37494696891877755,0.05734134212260982,0.07852649034014161,0.15301928645015433,0.2047307819244766,0.0,0.044577828404021295,0.4353281438843819,0.7035584323084345,0.47735003596582365,0.19430529659986628,5,16,84,163,1,4,8,2026-06-14T22:00:30.638058+00:00
6,g006_0028_7523,10039.172965,240,1200,5,0,0,0,6,21,44,1129,0.2579830558115573,0.09589060064267967,0.5974942647382212,0.04863207880754188,0.035965535545895544,0.20044549557255684,0.17039453232889332,0.07353443753097864,0.027924665183843206,0.3216653481612182,0.10472385350148007,0.33181618893823744,0.5227090567398723,5,16,82,160,1,4,8,2026-06-14T22:00:30.681116+00:00
6,g006_0044_4258,7855.401988,240,1200,5,0,0,0,2,27,36,1135,0.1667487978933282,0.415121729365067,0.3212198374709237,0.09690963527068108,0.07920916752876972,0.055990667329151776,0.09961155318468495,0.0,0.03342853412861118,0.2944827726950468,0.5320439038608634,0.3119439428662051,0.4324787546452583,4,17,101,176,0,4,8,2026-06-14T22:05:21.743978+00:00
6,g006_0052_8319,7233.272235,240,1200,5,0,0,0,1,29,33,1137,0.13115174904227545,0.16400025443103114,0.19731376483640875,0.5075342316902847,0.0834934433825923,0.06403963290931114,0.20217060382760652,0.07618244492615622,0.04648284999839161,0.61677789859897,0.2702434973654166,0.3694960851793092,0.3609594003419962,4,19,87,175,2,4,8,2026-06-14T22:12:47.226035+00:00
6,g006_0068_8179,9228.979501,240,1200,5,0,0,0,4,27,41,1128,0.33061847961295215,0.3938152089310268,0.2551971739563398,0.02036913749968122,0.12253068467467926,0.20323873059284775,0.12068974734064558,0.048609837786469656,0.03865250371296802,0.5248299414332767,0.48305817428640807,0.14976307873672892,0.4295528551522473,6,17,83,165,1,4,8,2026-06-14T22:17:36.108415+00:00
6,g006_0076_4189,7549.380553,240,1200,5,0,0,0,1,31,36,1132,0.07393173074043186,0.43492869675952794,0.32415103688122593,0.16698853561881416,0.03150231752103464,0.021705059003215194,0.19795386912758503,0.05742641912196436,0.023496896868495112,0.5961068507743758,0.639536126291877,0.2981741925565879,0.140791206685861,4,14,102,161,1,4,8,2026-06-14T22:18:31.770318+00:00
6,g006_0084_4914,11593.098738,240,1200,5,0,0,0,8,27,33,1132,0.3762435588825628,0.4720006396621361,0.009476819006552492,0.14227898244874856,0.22011045471464735,0.24998686781152996,0.05391922832415032,0.06359631673857684,0.021024483903213324,0.15734183004558097,0.335548103994685,0.3879066735384952,0.1284616105166055,5,18,103,184,1,4,8,2026-06-14T22:26:21.080030+00:00
6,g006_0020_3685,10045.221115,240,1200,5,0,0,0,5,31,36,1128,0.29244193991751133,0.20407853170627568,0.021595080148526243,0.4818844482276867,0.21320947916062716,0.11714998596431107,0.20356314186477314,0.07142111757601682,0.022890984205056343,0.5360259279280506,1.0,0.39835853879278305,0.2732670125679229,6,22,74,158,1,4,8,2026-06-14T22:39:41.261683+00:00
6,g006_0036_6682,19843.361281,240,1200,6,0,1,1,3,24,41,1130,0.6310521791998018,0.0895763165574389,0.009345679225490065,0.2700258250172693,0.12014270699388246,0.11335944452221153,0.05811784988258561,0.011416689171441466,0.04166507975967158,0.37496771341981167,0.3797078865350683,0.4980690726253978,0.37331915181013614,4,22,85,172,2,4,8,2026-06-14T22:42:21.123049+00:00
6,g006_0092_1316,8158.561773,240,1200,5,0,0,0,2,31,39,1128,0.3195213922770391,0.18939887497185817,0.19067170635556266,0.30040802639554015,0.07713069695512183,0.19252283923303215,0.16411737512925753,0.006209527735735455,0.027565351573358206,0.4020167069044913,0.3795673496905798,0.3739039386346754,0.5983590527531092,5,21,102,185,1,4,8,2026-06-14T22:54:54.537030+00:00
6,g006_0108_4251,8341.878212,240,1200,5,0,0,0,3,25,41,1131,0.1339393195437372,0.20997776712219376,0.17374935561469507,0.4823335577193741,0.16944744259922234,0.05462281378935614,0.25743583913649737,0.08175291277221461,0.014567706231802268,0.25701652266955355,0.09600605863926387,0.19495979742591177,0.2185466049122684,6,20,90,180,0,4,8,2026-06-14T23:01:24.804760+00:00
6,g006_0124_3571,9171.918523,240,1200,5,0,0,0,3,33,42,1122,0.42712026345211673,0.12556396158347374,0.38593396816515246,0.06138180679925701,0.0008468916951716553,0.03397197651000004,0.00488883779166269,0.059274370026998896,0.029242329718077116,0.30313043914165383,0.47582180746266023,0.20471746381322287,0.11191474818175197,5,16,88,179,0,4,8,2026-06-14T23:04:18.510874+00:00
6,g006_0116_5143,8587.974907,240,1200,5,0,0,0,3,27,42,1128,0.1763644889107972,0.5742362879499838,0.01048810502866315,0.23891111811055568,0.16009147784254635,0.048416346091041236,0.1400098166781036,0.05654783623184017,0.056402542687769834,0.13095092174519132,0.4303176586283366,0.4628800856387016,0.4227410563093114,6,21,98,177,1,4,8,2026-06-14T23:23:19.455177+00:00
6,g006_0060_7952,8598.878259,240,1200,5,0,0,0,3,30,32,1135,0.38907965401395805,0.09834735783992023,0.4551969220436111,0.05737606610251061,0.042432769030423034,0.11451286407950961,0.13727501945238216,0.10868972126729329,0.01848192194153404,0.46333212700387194,0.6657173125266942,0.3562380683548734,0.6990460643978641,4,24,90,160,1,4,8,2026-06-14T23:30:39.701815+00:00
6,g006_0132_5416,10802.790153,240,1200,5,0,0,0,7,25,35,1133,0.13248164414823188,0.5506010084247068,0.0503456080236906,0.26657173940337064,0.17414525889728424,0.22974313088328102,0.02087143215620581,0.07988627108635922,0.0439178878431047,0.2352413619838301,0.31801139495246283,0.3125696979723006,0.3086735783530369,5,21,81,174,1,4,8,2026-06-14T23:32:48.227832+00:00
